date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-07-16,7.02646651,1.63370856,1.77276709,9.2569842,5.44171545,2.06054184,3.21605004,6.9576648,3.85831435,
2007-07-17,7.27422626,1.65159588,1.81045213,9.05819256,5.54083595,2.08043124,3.39990273,7.30554804,3.85831435,
2007-07-18,7.39315094,1.65755832,1.81830318,8.91688284,5.9274059,2.07446442,3.44106378,7.66877907,3.85831435,
2007-07-19,7.65082108,1.6694832,1.81045213,9.1252548,5.8877577,2.08639806,3.44655192,7.28508432,3.85831435,
2007-07-20,7.79947693,1.77978834,1.95334124,9.32404644,6.1256469,2.15998884,3.67156566,7.14183828,3.85831435,
2007-07-23,8.27517565,1.8632625,2.03813258,9.32404644,6.3833602,2.27932524,3.7593759,7.49995338,3.85831435,
2007-07-24,8.03732629,1.85431884,2.01771985,9.32404644,6.27432765,2.27932524,3.85267428,7.87341627,3.85831435,
2007-07-25,8.20580292,2.0272296,2.05854531,9.32404644,6.47256865,2.41457316,4.00085406,7.87341627,3.85831435,
2007-07-26,8.45356267,2.0123235,2.10722182,9.32404644,6.740194,2.46230772,3.96518115,7.87341627,3.85831435,
2007-07-27,8.60221852,2.02424838,2.11193245,9.67851828,6.82940245,2.51998698,3.88011498,7.87341627,3.85831435,
2007-07-30,8.71123281,2.13455352,2.13862602,9.81743292,7.0177314,2.59954458,3.90755568,7.87341627,3.85831435,
2007-07-31,9.58334713,2.21206524,2.19672379,9.67372812,6.88887475,2.60352246,3.90206754,7.87341627,3.85831435,
2007-08-01,10.54465496,2.0272296,2.03813258,9.6641478,7.0177314,2.4066174,3.76486404,7.87341627,3.85831435,
2007-08-02,10.2077017,2.07492912,2.1040814,9.67372812,7.4142134,2.50208652,3.83346579,7.87341627,3.85831435,
2007-08-03,9.6130783,2.06300424,2.09151972,10.38027672,7.3745652,2.64330126,4.16001012,7.87341627,3.85831435,
2007-08-06,10.01940429,2.1315723,2.11507287,10.72756332,7.22588445,2.66120172,4.19019489,7.87341627,3.85831435,
2007-08-07,9.52388479,2.08983522,2.10251119,10.3108194,6.9979073,2.59954458,4.13805756,7.87341627,3.85831435,
2007-08-08,9.18693153,2.04809814,2.1354856,10.3108194,6.8987868,2.53987638,4.15726605,7.87341627,3.85831435,
2007-08-09,9.2166627,2.09579766,2.1668898,10.3108194,6.9780832,2.6452902,4.19568303,7.87341627,3.85831435,
2007-08-10,8.93917178,2.16555486,2.06482615,10.3108194,6.49239275,2.59357776,4.0886643,7.87341627,3.85831435,
2007-08-13,8.70132242,2.28687446,2.03656237,9.280935,6.92852295,2.70098052,4.20391524,7.87341627,3.85831435,
2007-08-14,9.57343674,2.24137961,2.10722182,9.40547916,6.94834705,2.72086992,4.16824233,6.52792668,3.85831435,
2007-08-15,9.47433284,2.16858785,2.13077497,9.12046464,6.8194904,2.75070402,4.33288653,6.22608681,3.85831435,
2007-08-16,9.7121822,2.16555486,2.27209387,9.0174762,7.20606035,2.85213996,4.20940338,6.3949125,3.85831435,
2007-08-17,9.6130783,2.12915898,2.17474085,9.05819256,6.98799525,2.73280356,3.99262185,6.10330449,3.85831435,
2007-08-20,9.8112861,2.1837528,2.26424282,9.21866292,7.136676,2.82628374,4.24233222,6.2925939,3.85831435,
2007-08-21,9.66263025,2.18071981,2.27209387,9.101304,7.1961483,2.76661554,4.47009003,6.19539123,3.85831435,
